MX|01904|DIF|Álvaro Obregón
MX|01940|DIF|Álvaro Obregón
MX|01990|DIF|Álvaro Obregón
MX|02000|DIF|Azcapotzalco
MX|02008|DIF|Azcapotzalco
MX|02010|DIF|Azcapotzalco
MX|02020|DIF|Azcapotzalco
MX|02040|DIF|Azcapotzalco
MX|02050|DIF|Azcapotzalco
MX|02060|DIF|Azcapotzalco
MX|02070|DIF|Azcapotzalco
MX|02080|DIF|Azcapotzalco
MX|02090|DIF|Azcapotzalco
MX|02099|DIF|Azcapotzalco
MX|02100|DIF|Azcapotzalco
MX|02109|DIF|Azcapotzalco
MX|02110|DIF|Azcapotzalco
MX|02120|DIF|Azcapotzalco
MX|02125|DIF|Azcapotzalco
MX|02127|DIF|Azcapotzalco
MX|02128|DIF|Azcapotzalco
MX|02129|DIF|Azcapotzalco
MX|02130|DIF|Azcapotzalco
MX|02140|DIF|Azcapotzalco
MX|02150|DIF|Azcapotzalco
MX|02160|DIF|Azcapotzalco
MX|02169|DIF|Azcapotzalco
MX|02200|DIF|Azcapotzalco
MX|02230|DIF|Azcapotzalco
MX|02240|DIF|Azcapotzalco
MX|02250|DIF|Azcapotzalco
MX|02260|DIF|Azcapotzalco
MX|02300|DIF|Azcapotzalco
MX|02310|DIF|Azcapotzalco
MX|02320|DIF|Azcapotzalco
MX|02330|DIF|Azcapotzalco
MX|02340|DIF|Azcapotzalco
MX|02350|DIF|Azcapotzalco
MX|02360|DIF|Azcapotzalco
MX|02400|DIF|Azcapotzalco
MX|02409|DIF|Azcapotzalco
MX|02410|DIF|Azcapotzalco
MX|02419|DIF|Azcapotzalco
MX|02420|DIF|Azcapotzalco
MX|02430|DIF|Azcapotzalco
MX|02440|DIF|Azcapotzalco
MX|02450|DIF|Azcapotzalco
MX|02459|DIF|Azcapotzalco
MX|02460|DIF|Azcapotzalco
MX|02470|DIF|Azcapotzalco
MX|02479|DIF|Azcapotzalco
MX|02480|DIF|Azcapotzalco
MX|02490|DIF|Azcapotzalco
MX|02500|DIF|Azcapotzalco
MX|02510|DIF|Azcapotzalco
MX|02519|DIF|Azcapotzalco
MX|02520|DIF|Azcapotzalco
MX|02525|DIF|Azcapotzalco
MX|02530|DIF|Azcapotzalco
MX|02540|DIF|Azcapotzalco
MX|02600|DIF|Azcapotzalco
MX|02630|DIF|Azcapotzalco
MX|02640|DIF|Azcapotzalco
MX|02650|DIF|Azcapotzalco
MX|02660|DIF|Azcapotzalco
MX|02670|DIF|Azcapotzalco
MX|02680|DIF|Azcapotzalco
MX|02700|DIF|Azcapotzalco
MX|02710|DIF|Azcapotzalco
